"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 00:31:28,FALSE,NA,"1462941836125769734",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bizzlebubbb",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 00:22:54,FALSE,NA,"1462939680890970113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yahaechanlah",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 00:15:28,FALSE,NA,"1462937809803616258",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HuangArjun",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-23 00:14:37,FALSE,NA,"1462937595944456194",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","7isasdottir",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 23:39:24,FALSE,NA,"1462928731987611648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","day_asix",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 22:39:21,FALSE,NA,"1462913620698755082",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GladysNababan",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 22:34:36,FALSE,NA,"1462912424785309696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nomikaid",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 22:06:19,FALSE,NA,"1462905308737511425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hafizhtaqi_",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 22:00:49,FALSE,NA,"1462903923367284736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HariRiyant",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 19:17:11,FALSE,NA,"1462862745821491201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abbas_alharik",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 19:01:21,FALSE,NA,"1462858757680279552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nisakhairundd",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 18:54:08,FALSE,NA,"1462856944704655361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iserotoninka",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 18:47:54,FALSE,NA,"1462855372973088768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HwaShawna",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 18:36:47,FALSE,NA,"1462852576873828355",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","serenecalmsea",3307,TRUE,FALSE,NA,NA
"RT @Quicktake: LATEST: GoJek co-founder Nadiem Makarim resigns to join Indonesia’s President #Jokowi's cabinet.

Here's what he previously…",FALSE,0,NA,2021-11-22 18:06:59,FALSE,NA,"1462845079110885381",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","riditubihappy",3307,TRUE,FALSE,NA,NA
