Datetime,Username,Text
2021-11-29 14:49:10+00:00,_thejohan,Check out The Johan's video! #Mandalika #MandalikaCircuit #MandalikaMotoGP #MandalikaMendunia #MotoG31 #WorldSeries #MotoGP #MotoGPxESPN #motogpawards #TikTok https://t.co/0bM5MynZJb
2021-11-29 14:49:08+00:00,HazwanStraight,"@OposisiCerdas Bilang aja ngiri...
Krn Mandalika yg sejatinya akan jdi ajang pencitraan ,diguyur hujan derassssss..."
2021-11-29 14:45:27+00:00,r__u__mine_,"@tubirfess Bukan ngebela Suneo, tapi bicara fakta aja sih, bukannya covid di indo emg udh b aja ya? Udh banyak lagian tempat clubbing,cafe,konser yg ga pake prokes, di jalan aja udh mulai banyak yg ga pake masker, ini konser Marion bola di mandalika kemaren, see? Apa itu prokes? https://t.co/Yuf2nkZSu4"
2021-11-29 14:36:35+00:00,sayasiapayaa10,"@fajarnugros untuk ini bukan di mandalika

https://t.co/eDQskli55u https://t.co/udIZKTQ3al"
2021-11-29 14:32:48+00:00,sudut_ruanganIX,"Nyobain ngetrek di sirkuit mandalika 1 putaran by tom sykes.
Mantul nih sensasinya,rotasi layar hp full screen mode.
Exiting...! https://t.co/XmVThxfdfI"
2021-11-29 14:27:52+00:00,mielkyadwi,"@pengarang_sajak Ya klo memang yg angkat nama Indonesia mngkin bs gunakan aja icon baru Mandalika sirkuit..biar joss sekalian, tanggung klo jakarta. 😁

Sekalian isi calender event sirkuit baru om.."
2021-11-29 14:21:16+00:00,mewgupilovebot,"@theialusiana KAYAK DI MANDALIKA
https://t.co/AgoxsXe7Dl"
2021-11-29 14:20:19+00:00,Iskandarm1r74,"@ediasmawan @BBerizik @musniumar Anak Sd juga ngerti salah satunya promosi pariwisata
Sama dengan world superbike mandalika kemaren
Kalem aja bong jangan kayak org susah"
2021-11-29 14:16:17+00:00,raidersmarpaung,"Luar Biasa, Pembalap Tuan Rumah Hampir Naik Podium Race 3 Idemitsu Asia Talent Cup di Sirkuit Internasional Mandalika https://t.co/z9xcgt6KxV"
2021-11-29 14:14:52+00:00,mewgupilovebot,@zdkskji KITA BISA MANJAT DINDING KEK DI SIRKUIT MANDALIKA
2021-11-29 14:11:29+00:00,bangzul_ntb,"Bersama ITDC, Pemda Loteng, Angkasa Pura, Pak Kapolres, Pak Dandim, Pimpinan OPD2 Provinsi dan Loteng berdialog dgn Kepala2 Desa sekitar Mandalika..

Insya Allah dgn duduk bersama dan berdialog hangat salah pengertian dan miskomunikasi bisa dihindari.. https://t.co/xoRYo5d60l"
2021-11-29 14:10:42+00:00,firman__nurhuda,"@MieAyamSerang @Ndrews110611 @SahabatSaber @tatakujiyati @FIAFormulaE Yakin , mau mengalokasi anggaran Melebihi Formula E dan Sirkuit Mandalika...?

Nanti Protes kagak...? Sumur Resapan dibawah 3,4 T aja protes apalagi sekelas sumur resapan singapura"
